Товар,Категория,Остаток,Цена,Тип дня,Спрос
Бананы,Фрукты,49,64.76,будни,11
Конфеты шоколадные,Кондитерские изделия,21,496.82,будни,18
Картофель молодой,Овощи,44,176.65,выходной,34
Сметана 15%,Молочные продукты,19,477.93,будни,14
Сыр Российский,Молочные продукты,85,484.55,выходной,24
Гречка ядрица,Крупы,32,114.18,будни,15
Макароны спагетти,Макаронные изделия,43,441.32,будни,8
Майонез оливковый,Соусы,9,138.13,выходной,4
Сок апельсиновый,Напитки,24,318.85,будни,8
Джем клубничный,Сладости,1,234.82,выходной,10
Лавровый лист,Специи,20,152.02,будни,2
Яйца куриные (10 шт),Яйца,30,275.44,будни,10
Апельсины,Фрукты,70,138.39,будни,10
Сметана 15%,Молочные продукты,82,391.87,выходной,8
Сметана 15%,Молочные продукты,20,94.68,праздник,12
Лосось стейк,Рыба и морепродукты,47,315.57,праздник,24
Печенье овсяное,Кондитерские изделия,49,470.52,будни,6
Бананы,Фрукты,48,152.0,выходной,30
Сахар песок,Бакалея,2,71.13,будни,18
Мармелад фруктовый,Кондитерские изделия,33,272.41,выходной,16
Лосось стейк,Рыба и морепродукты,42,763.82,выходной,14
Сахар песок,Бакалея,17,439.61,будни,17
Курица охлажденная,Мясо,22,718.36,будни,19
Помидоры черри,Овощи,47,110.03,будни,6
Лавровый лист,Специи,43,230.96,будни,12
Сыр Российский,Молочные продукты,84,354.03,будни,19
Кофе молотый,Напитки,23,383.37,будни,5
Соль йодированная,Бакалея,37,280.9,будни,12
Йогурт греческий,Молочные продукты,39,287.47,будни,17
Чай черный,Напитки,31,191.7,выходной,10
Мёд цветочный,Сладости,13,368.69,будни,2
Вино красное,Алкоголь,16,1478.21,выходной,8
Хлеб бородинский,Хлебобулочные изделия,39,178.31,выходной,12
Говядина вырезка,Мясо,8,554.87,будни,9
Кофе молотый,Напитки,35,79.46,будни,10
Сахар песок,Бакалея,21,400.64,будни,11
Курица охлажденная,Мясо,48,514.17,будни,2
Морковь столовая,Овощи,16,98.46,будни,28
Рис Басмати,Крупы,38,479.75,будни,9
Колбаса докторская,Мясные изделия,23,337.74,будни,17
Лосось стейк,Рыба и морепродукты,39,316.19,будни,9
Лук репчатый,Овощи,59,80.23,выходной,58
Перец черный молотый,Специи,18,53.44,будни,8
Сухарики ржаные,Снеки,44,151.05,будни,5
Мармелад фруктовый,Кондитерские изделия,34,315.91,будни,5
Мука пшеничная,Бакалея,10,439.06,выходной,12
Сок апельсиновый,Напитки,31,215.29,будни,16
"Молоко 2,5%",Молочные продукты,23,402.67,будни,1
Чай черный,Напитки,35,427.84,будни,9
Мармелад фруктовый,Кондитерские изделия,0,477.99,выходной,14
Вино красное,Алкоголь,38,1119.22,выходной,16
Чипсы картофельные,Снеки,9,247.06,выходной,10
Помидоры черри,Овощи,55,164.0,будни,23
"Кефир 3,2%",Молочные продукты,30,305.58,праздник,18
Макароны спагетти,Макаронные изделия,17,463.11,будни,14
Энергетик,Напитки,18,341.73,будни,14
Чай черный,Напитки,21,150.81,будни,11
Яйца куриные (10 шт),Яйца,32,74.74,будни,4
Перец черный молотый,Специи,9,406.18,выходной,20
Курица охлажденная,Мясо,4,593.68,будни,2
Апельсины,Фрукты,30,121.07,выходной,8
Майонез оливковый,Соусы,7,82.11,будни,10
Майонез оливковый,Соусы,39,253.97,будни,1
Печенье овсяное,Кондитерские изделия,26,123.31,будни,14
Сыр Российский,Молочные продукты,80,395.67,выходной,36
Говядина вырезка,Мясо,49,614.09,будни,12
Джем клубничный,Сладости,45,185.03,выходной,38
Картофель молодой,Овощи,14,116.99,будни,27
Шоколад молочный,Кондитерские изделия,38,442.12,будни,12
Кетчуп томатный,Соусы,40,338.9,выходной,10
Сахар песок,Бакалея,0,70.77,будни,4
Рис Басмати,Крупы,36,54.89,выходной,26
Лавровый лист,Специи,22,314.74,будни,18
Гречка ядрица,Крупы,4,304.77,будни,12
Майонез оливковый,Соусы,21,302.62,будни,16
Яйца куриные (10 шт),Яйца,36,97.58,будни,6
Сахар песок,Бакалея,42,171.43,выходной,14
Лавровый лист,Специи,4,386.09,будни,9
Гречка ядрица,Крупы,44,468.23,выходной,20
Майонез оливковый,Соусы,30,147.09,выходной,10
Курица охлажденная,Мясо,9,521.44,будни,4
Хлеб бородинский,Хлебобулочные изделия,25,68.76,будни,11
Огурцы грунтовые,Овощи,98,120.01,будни,23
Йогурт греческий,Молочные продукты,26,253.04,будни,7
Майонез оливковый,Соусы,39,284.14,будни,13
Колбаса докторская,Мясные изделия,28,489.05,будни,13
Мука пшеничная,Бакалея,28,35.8,выходной,36
Сухарики ржаные,Снеки,37,274.2,выходной,18
Вино красное,Алкоголь,9,1416.77,будни,5
Картофель молодой,Овощи,34,70.01,выходной,32
"Кефир 3,2%",Молочные продукты,10,70.16,будни,1
Конфеты шоколадные,Кондитерские изделия,2,393.71,выходной,36
Чипсы картофельные,Снеки,29,402.79,будни,17
Вода минеральная,Напитки,45,479.23,будни,10
Мука пшеничная,Бакалея,11,323.71,будни,9
Пиво светлое,Алкоголь,28,682.84,будни,4
Морковь столовая,Овощи,56,141.6,будни,12
Рис Басмати,Крупы,25,57.28,выходной,30
Мёд цветочный,Сладости,5,207.56,выходной,26
Макароны спагетти,Макаронные изделия,8,342.39,будни,17
Сыр Российский,Молочные продукты,24,369.75,выходной,18
Перец черный молотый,Специи,38,122.67,будни,11
"Кефир 3,2%",Молочные продукты,66,182.71,будни,4
Майонез оливковый,Соусы,42,214.01,выходной,14
Лимонад,Напитки,41,120.72,праздник,9
Огурцы грунтовые,Овощи,26,124.42,будни,14
Колбаса докторская,Мясные изделия,23,118.75,будни,3
Вода минеральная,Напитки,14,158.72,будни,1
Джем клубничный,Сладости,33,446.62,будни,14
Лимонад,Напитки,3,341.35,будни,13
Рис Басмати,Крупы,41,442.3,выходной,10
Энергетик,Напитки,15,123.46,будни,8
Говядина вырезка,Мясо,4,753.49,выходной,24
Яйца куриные (10 шт),Яйца,30,444.85,будни,6
Гречка ядрица,Крупы,31,52.75,будни,2
Яблоки Гренни,Фрукты,96,186.81,будни,4
Гречка ядрица,Крупы,32,493.1,выходной,10
Джем клубничный,Сладости,32,184.45,будни,11
Печенье овсяное,Кондитерские изделия,33,400.75,будни,13
Макароны спагетти,Макаронные изделия,4,426.02,выходной,16
Кофе молотый,Напитки,31,77.64,будни,5
Колбаса докторская,Мясные изделия,8,459.75,выходной,12
Яблоки Гренни,Фрукты,63,132.06,праздник,45
Сок апельсиновый,Напитки,1,409.36,выходной,32
Зефир ванильный,Кондитерские изделия,7,395.97,будни,11
Бананы,Фрукты,29,57.53,выходной,14
Огурцы грунтовые,Овощи,97,171.73,будни,10
Конфеты шоколадные,Кондитерские изделия,26,44.07,будни,12
Апельсины,Фрукты,77,92.72,выходной,8
Сок апельсиновый,Напитки,25,50.68,выходной,28
Кофе молотый,Напитки,20,452.42,будни,11
Мармелад фруктовый,Кондитерские изделия,14,254.99,будни,12
Майонез оливковый,Соусы,27,382.74,будни,2
Бананы,Фрукты,57,89.12,выходной,22
Мёд цветочный,Сладости,48,338.46,выходной,26
Масло сливочное,Молочные продукты,73,192.86,выходной,22
Лук репчатый,Овощи,78,130.33,будни,13
Лук репчатый,Овощи,44,145.64,будни,25
Вино красное,Алкоголь,14,293.22,будни,5
Сметана 15%,Молочные продукты,28,486.11,праздник,36
Колбаса докторская,Мясные изделия,18,442.45,будни,3
Колбаса докторская,Мясные изделия,17,105.71,будни,16
Чай черный,Напитки,47,363.2,выходной,38
Лавровый лист,Специи,44,469.13,выходной,34
Шоколад молочный,Кондитерские изделия,32,232.32,будни,11
Гречка ядрица,Крупы,10,332.86,будни,19
Апельсины,Фрукты,29,113.65,будни,18
Вино красное,Алкоголь,47,678.43,будни,9
Конфеты шоколадные,Кондитерские изделия,49,165.87,будни,13
Колбаса докторская,Мясные изделия,3,458.36,будни,6
Картофель молодой,Овощи,50,50.91,будни,7
Колбаса докторская,Мясные изделия,36,353.58,будни,12
Сыр Российский,Молочные продукты,45,395.23,будни,9
Лимонад,Напитки,19,191.98,будни,9
Сухарики ржаные,Снеки,2,485.63,выходной,30
Сок апельсиновый,Напитки,21,395.1,будни,1
Сахар песок,Бакалея,0,85.61,будни,18
Бананы,Фрукты,96,155.83,выходной,30
Лавровый лист,Специи,30,178.55,выходной,16
Творог 5%,Молочные продукты,74,122.06,будни,11
Яйца куриные (10 шт),Яйца,14,401.82,будни,17
Морковь столовая,Овощи,89,52.36,будни,18
Йогурт греческий,Молочные продукты,39,208.85,будни,19
Сметана 15%,Молочные продукты,11,406.11,будни,5
Чай черный,Напитки,33,84.43,будни,2
Мука пшеничная,Бакалея,19,320.78,выходной,30
Хлеб бородинский,Хлебобулочные изделия,43,364.63,будни,19
Колбаса докторская,Мясные изделия,47,340.44,выходной,32
Картофель молодой,Овощи,64,83.73,будни,17
Шоколад молочный,Кондитерские изделия,44,58.44,будни,7
Вода минеральная,Напитки,36,95.69,будни,17
Печенье овсяное,Кондитерские изделия,10,227.67,будни,19
Апельсины,Фрукты,64,145.0,выходной,14
Хлеб бородинский,Хлебобулочные изделия,13,331.12,будни,12
Сок апельсиновый,Напитки,44,304.0,будни,13
Вода минеральная,Напитки,20,315.73,будни,13
Творог 5%,Молочные продукты,78,333.57,будни,14
Картофель молодой,Овощи,39,72.41,будни,19
Конфеты шоколадные,Кондитерские изделия,44,142.51,будни,2
Сметана 15%,Молочные продукты,41,162.21,будни,6
Лосось стейк,Рыба и морепродукты,28,453.19,будни,9
Сок апельсиновый,Напитки,19,372.11,будни,15
Апельсины,Фрукты,70,198.76,будни,16
Мармелад фруктовый,Кондитерские изделия,10,298.99,выходной,4
Соль йодированная,Бакалея,29,382.85,будни,3
Гречка ядрица,Крупы,0,453.05,будни,8
Вода минеральная,Напитки,4,452.3,будни,8
Помидоры черри,Овощи,66,132.14,будни,25
Яйца куриные (10 шт),Яйца,18,261.79,будни,7
Свинина отбивная,Мясо,44,349.34,будни,11
Сахар песок,Бакалея,36,61.02,будни,13
Лимонад,Напитки,2,54.51,выходной,16
Помидоры черри,Овощи,12,192.19,выходной,26
Яйца куриные (10 шт),Яйца,41,207.62,будни,16
Морковь столовая,Овощи,91,54.72,выходной,18
Кетчуп томатный,Соусы,15,285.06,будни,14
Йогурт греческий,Молочные продукты,13,206.45,выходной,2
Конфеты шоколадные,Кондитерские изделия,16,307.44,выходной,38
Рис Басмати,Крупы,26,149.6,будни,17
Яйца куриные (10 шт),Яйца,21,153.78,выходной,28
Лавровый лист,Специи,39,59.22,будни,13
Печенье овсяное,Кондитерские изделия,23,322.6,выходной,16
Сахар песок,Бакалея,8,471.51,будни,3
Мармелад фруктовый,Кондитерские изделия,35,135.35,будни,1
"Молоко 2,5%",Молочные продукты,78,296.05,выходной,38
Яйца куриные (10 шт),Яйца,41,33.85,будни,15
Вино красное,Алкоголь,42,1134.43,будни,5
Сок апельсиновый,Напитки,24,409.12,будни,8
Зефир ванильный,Кондитерские изделия,8,213.93,выходной,18
Яйца куриные (10 шт),Яйца,31,496.12,будни,13
Апельсины,Фрукты,33,62.79,будни,12
Конфеты шоколадные,Кондитерские изделия,25,209.41,будни,9
Кофе молотый,Напитки,30,427.94,выходной,22
Мука пшеничная,Бакалея,44,262.52,будни,5
Чай черный,Напитки,2,309.58,выходной,38
Лимонад,Напитки,42,234.01,будни,18
Мёд цветочный,Сладости,48,96.47,будни,11
Сок апельсиновый,Напитки,33,65.25,будни,11
Энергетик,Напитки,3,181.72,выходной,12
"Кефир 3,2%",Молочные продукты,81,377.82,будни,1
Пиво светлое,Алкоголь,47,772.47,выходной,12
"Кефир 3,2%",Молочные продукты,90,462.27,выходной,18
Рис Басмати,Крупы,26,347.72,будни,7
Рис Басмати,Крупы,27,493.91,будни,6
Курица охлажденная,Мясо,33,359.2,будни,10
Чипсы картофельные,Снеки,19,207.28,будни,5
Яблоки Гренни,Фрукты,25,88.83,выходной,2
Говядина вырезка,Мясо,17,695.98,выходной,30
Йогурт греческий,Молочные продукты,68,312.75,будни,5
Хлеб бородинский,Хлебобулочные изделия,13,327.4,будни,6
Лавровый лист,Специи,41,459.66,выходной,10
Лавровый лист,Специи,48,272.03,будни,17
Колбаса докторская,Мясные изделия,24,314.25,будни,18
Джем клубничный,Сладости,47,35.16,будни,4
Йогурт греческий,Молочные продукты,99,417.7,будни,2
Сыр Российский,Молочные продукты,97,124.54,будни,8
Лимонад,Напитки,22,102.88,будни,5
Сыр Российский,Молочные продукты,24,302.55,выходной,8
Мёд цветочный,Сладости,26,339.88,будни,14
Кофе молотый,Напитки,48,449.46,будни,4
Яйца куриные (10 шт),Яйца,39,380.01,будни,8
"Молоко 2,5%",Молочные продукты,88,33.58,будни,3
Пиво светлое,Алкоголь,4,1053.65,выходной,4
Помидоры черри,Овощи,38,82.0,будни,27
Лавровый лист,Специи,35,317.87,будни,12
Лимонад,Напитки,23,487.85,будни,15
Масло сливочное,Молочные продукты,26,97.56,выходной,18
Лук репчатый,Овощи,68,141.96,выходной,12
Мёд цветочный,Сладости,28,221.31,будни,1
Сметана 15%,Молочные продукты,39,385.91,будни,15
Сахар песок,Бакалея,46,321.34,будни,15
Апельсины,Фрукты,30,108.43,выходной,16
Помидоры черри,Овощи,68,118.24,будни,7
"Кефир 3,2%",Молочные продукты,58,97.98,выходной,4
Масло сливочное,Молочные продукты,86,477.16,выходной,8
Мёд цветочный,Сладости,26,343.53,будни,18
Мука пшеничная,Бакалея,32,47.86,выходной,24
Энергетик,Напитки,22,304.53,выходной,36
Соль йодированная,Бакалея,37,380.17,выходной,20
Гречка ядрица,Крупы,30,210.37,будни,8
Йогурт греческий,Молочные продукты,45,105.73,праздник,54
Майонез оливковый,Соусы,5,266.09,будни,17
Гречка ядрица,Крупы,47,89.43,выходной,38
Зефир ванильный,Кондитерские изделия,14,113.94,выходной,12
"Кефир 3,2%",Молочные продукты,77,73.16,будни,14
Чипсы картофельные,Снеки,18,199.19,будни,5
Джем клубничный,Сладости,2,122.34,выходной,16
Соль йодированная,Бакалея,9,135.11,выходной,16
Творог 5%,Молочные продукты,24,397.42,будни,18
"Молоко 2,5%",Молочные продукты,16,444.35,будни,9
Кетчуп томатный,Соусы,29,128.03,будни,14
Перец черный молотый,Специи,48,273.21,будни,14
Сок апельсиновый,Напитки,37,404.16,выходной,28
Соль йодированная,Бакалея,16,124.39,будни,17
Сахар песок,Бакалея,26,270.28,выходной,4
Апельсины,Фрукты,52,129.69,выходной,28
Соль йодированная,Бакалея,45,49.66,будни,12
Кофе молотый,Напитки,25,483.45,будни,16
"Молоко 2,5%",Молочные продукты,93,339.83,будни,6
Картофель молодой,Овощи,13,125.24,выходной,44
Огурцы грунтовые,Овощи,37,194.41,будни,11
Говядина вырезка,Мясо,8,455.42,праздник,6
Яблоки Гренни,Фрукты,90,148.99,будни,13
Перец черный молотый,Специи,37,253.77,будни,8
"Молоко 2,5%",Молочные продукты,12,445.9,будни,12
Энергетик,Напитки,14,150.31,будни,1
Курица охлажденная,Мясо,43,441.73,выходной,18
Мармелад фруктовый,Кондитерские изделия,25,397.43,выходной,16
Мука пшеничная,Бакалея,47,484.47,праздник,27
Говядина вырезка,Мясо,8,724.77,будни,5
Сок апельсиновый,Напитки,18,275.44,выходной,26
Лавровый лист,Специи,46,329.89,выходной,28
Сыр Российский,Молочные продукты,71,225.71,будни,4
Яблоки Гренни,Фрукты,97,127.92,выходной,34
Макароны спагетти,Макаронные изделия,16,237.01,выходной,18
Сок апельсиновый,Напитки,27,182.47,выходной,30
Рис Басмати,Крупы,4,47.18,будни,4
Шоколад молочный,Кондитерские изделия,27,358.61,выходной,4
Мука пшеничная,Бакалея,37,119.16,будни,13
Чай черный,Напитки,44,444.55,будни,4
Вино красное,Алкоголь,5,1304.25,выходной,4
Джем клубничный,Сладости,48,221.96,выходной,32
Майонез оливковый,Соусы,41,293.47,будни,10
Огурцы грунтовые,Овощи,62,54.14,выходной,12
Морковь столовая,Овощи,29,59.12,будни,18
Вода минеральная,Напитки,2,486.08,выходной,4
Майонез оливковый,Соусы,0,74.53,выходной,36
Кетчуп томатный,Соусы,27,323.81,выходной,2
"Молоко 2,5%",Молочные продукты,30,36.88,будни,13
Вода минеральная,Напитки,30,108.19,будни,6
Конфеты шоколадные,Кондитерские изделия,24,56.8,будни,17
Сыр Российский,Молочные продукты,66,76.71,будни,17
Пиво светлое,Алкоголь,9,906.17,выходной,12
Помидоры черри,Овощи,42,107.53,выходной,30
Макароны спагетти,Макаронные изделия,41,436.46,будни,6
Лимонад,Напитки,8,487.67,будни,3
Бананы,Фрукты,83,79.09,будни,14
Рис Басмати,Крупы,47,413.37,выходной,12
Кетчуп томатный,Соусы,7,372.89,будни,17
Йогурт греческий,Молочные продукты,13,219.07,будни,3
Зефир ванильный,Кондитерские изделия,45,426.58,будни,17
Бананы,Фрукты,73,134.54,выходной,38
Морковь столовая,Овощи,29,132.34,будни,22
Джем клубничный,Сладости,17,116.41,будни,5
"Молоко 2,5%",Молочные продукты,64,166.37,будни,15
Шоколад молочный,Кондитерские изделия,38,67.46,будни,3
Лук репчатый,Овощи,61,158.95,будни,27
Творог 5%,Молочные продукты,96,280.78,праздник,24
Вода минеральная,Напитки,7,119.69,выходной,14
"Молоко 2,5%",Молочные продукты,24,420.52,будни,18
Сухарики ржаные,Снеки,25,463.08,будни,10
Йогурт греческий,Молочные продукты,63,87.35,будни,10
Джем клубничный,Сладости,46,204.78,будни,19
Апельсины,Фрукты,50,112.67,будни,1
Лосось стейк,Рыба и морепродукты,35,653.73,праздник,6
Апельсины,Фрукты,27,165.97,будни,1
Сок апельсиновый,Напитки,27,263.21,будни,9
Майонез оливковый,Соусы,23,473.33,будни,15
Сок апельсиновый,Напитки,46,412.14,выходной,36
Вода минеральная,Напитки,7,473.35,будни,18
Яблоки Гренни,Фрукты,99,122.6,выходной,14
Кетчуп томатный,Соусы,13,184.61,праздник,42
"Кефир 3,2%",Молочные продукты,58,151.7,будни,18
Бананы,Фрукты,86,179.38,выходной,38
Сыр Российский,Молочные продукты,54,46.17,будни,5
Йогурт греческий,Молочные продукты,77,225.75,выходной,18
Огурцы грунтовые,Овощи,58,156.89,выходной,44
Шоколад молочный,Кондитерские изделия,34,405.05,выходной,26
Майонез оливковый,Соусы,0,41.88,будни,5
Сухарики ржаные,Снеки,23,250.05,выходной,30
Вино красное,Алкоголь,8,455.36,выходной,16
Гречка ядрица,Крупы,34,467.57,будни,19
Пиво светлое,Алкоголь,1,1384.86,будни,4
Печенье овсяное,Кондитерские изделия,17,436.06,будни,11
Колбаса докторская,Мясные изделия,22,426.92,будни,9
Яйца куриные (10 шт),Яйца,29,33.04,будни,16
Кофе молотый,Напитки,3,470.15,будни,11
Мёд цветочный,Сладости,44,241.41,будни,2
"Кефир 3,2%",Молочные продукты,80,478.24,выходной,16
Чай черный,Напитки,22,342.93,выходной,10
Пиво светлое,Алкоголь,3,590.51,будни,9
Шоколад молочный,Кондитерские изделия,9,69.04,будни,11
"Кефир 3,2%",Молочные продукты,15,459.14,будни,5
Кетчуп томатный,Соусы,39,280.87,будни,9
Чипсы картофельные,Снеки,46,209.92,будни,1
Перец черный молотый,Специи,41,352.55,будни,10
Свинина отбивная,Мясо,12,493.67,выходной,16
Лавровый лист,Специи,4,320.85,будни,19
Сметана 15%,Молочные продукты,53,109.68,будни,16
Курица охлажденная,Мясо,48,733.98,выходной,26
Сметана 15%,Молочные продукты,63,133.11,выходной,10
Шоколад молочный,Кондитерские изделия,13,480.27,выходной,36
Курица охлажденная,Мясо,37,336.34,будни,9
"Кефир 3,2%",Молочные продукты,74,427.99,праздник,12
Чай черный,Напитки,16,185.7,будни,14
Майонез оливковый,Соусы,37,167.08,будни,7
Хлеб бородинский,Хлебобулочные изделия,38,280.1,будни,12
Мёд цветочный,Сладости,13,430.56,выходной,14
Мука пшеничная,Бакалея,8,111.09,выходной,22
"Кефир 3,2%",Молочные продукты,43,120.68,будни,15
"Кефир 3,2%",Молочные продукты,11,385.54,выходной,14
Апельсины,Фрукты,81,67.79,выходной,34
Курица охлажденная,Мясо,27,494.05,будни,5
Йогурт греческий,Молочные продукты,51,72.53,будни,8
"Кефир 3,2%",Молочные продукты,62,227.53,выходной,20
Курица охлажденная,Мясо,26,637.66,выходной,12
Майонез оливковый,Соусы,16,352.94,праздник,6
Сок апельсиновый,Напитки,48,132.77,будни,5
Сухарики ржаные,Снеки,16,211.34,будни,10
Печенье овсяное,Кондитерские изделия,47,78.14,будни,3
Масло сливочное,Молочные продукты,17,231.85,будни,13
Хлеб бородинский,Хлебобулочные изделия,17,121.51,будни,16
Перец черный молотый,Специи,37,474.92,будни,15
Курица охлажденная,Мясо,7,507.18,будни,2
Чай черный,Напитки,3,298.97,праздник,9
Яблоки Гренни,Фрукты,52,160.8,праздник,54
Вода минеральная,Напитки,29,100.59,будни,15
Курица охлажденная,Мясо,46,600.65,выходной,10
Гречка ядрица,Крупы,10,278.96,выходной,22
Лосось стейк,Рыба и морепродукты,28,387.22,будни,3
Сахар песок,Бакалея,19,132.96,будни,9
Помидоры черри,Овощи,17,181.86,будни,11
"Молоко 2,5%",Молочные продукты,95,233.42,выходной,4
Йогурт греческий,Молочные продукты,99,49.96,выходной,30
Яйца куриные (10 шт),Яйца,48,202.13,выходной,24
Мармелад фруктовый,Кондитерские изделия,20,293.65,выходной,32
Шоколад молочный,Кондитерские изделия,21,443.62,будни,16
Сухарики ржаные,Снеки,3,279.69,выходной,32
Мёд цветочный,Сладости,35,87.67,выходной,38
Апельсины,Фрукты,94,145.45,будни,3
Сыр Российский,Молочные продукты,18,250.22,выходной,8
Кетчуп томатный,Соусы,47,347.14,будни,1
Мука пшеничная,Бакалея,25,234.74,выходной,16
Пиво светлое,Алкоголь,37,841.29,будни,8
Конфеты шоколадные,Кондитерские изделия,21,240.47,выходной,30
Яблоки Гренни,Фрукты,26,77.51,выходной,10
Лосось стейк,Рыба и морепродукты,47,455.01,будни,12
Сметана 15%,Молочные продукты,84,204.46,будни,4
Курица охлажденная,Мясо,7,792.09,выходной,30
Лосось стейк,Рыба и морепродукты,18,447.64,будни,6
Вино красное,Алкоголь,17,1067.06,будни,5
Соль йодированная,Бакалея,16,29.76,выходной,22
Бананы,Фрукты,14,199.61,выходной,28
Лимонад,Напитки,49,143.56,будни,11
Перец черный молотый,Специи,49,198.72,будни,9
Лосось стейк,Рыба и морепродукты,23,382.13,выходной,20
Конфеты шоколадные,Кондитерские изделия,47,248.71,выходной,12
Вино красное,Алкоголь,1,222.84,выходной,18
Яйца куриные (10 шт),Яйца,14,406.87,будни,5
"Кефир 3,2%",Молочные продукты,36,386.75,будни,10
Морковь столовая,Овощи,73,159.98,будни,24
Джем клубничный,Сладости,16,168.13,выходной,28
Кетчуп томатный,Соусы,41,320.92,будни,6
Чай черный,Напитки,30,178.57,будни,4
Кофе молотый,Напитки,11,46.38,будни,10
Говядина вырезка,Мясо,16,540.53,будни,11
Говядина вырезка,Мясо,11,794.03,выходной,32
Творог 5%,Молочные продукты,45,245.81,будни,7
Чай черный,Напитки,46,388.5,выходной,36
Кофе молотый,Напитки,20,325.89,выходной,14
Кофе молотый,Напитки,0,118.67,будни,15
Сметана 15%,Молочные продукты,99,248.88,будни,19
Лосось стейк,Рыба и морепродукты,11,665.27,будни,18
Соль йодированная,Бакалея,49,402.52,будни,15
Сыр Российский,Молочные продукты,99,145.98,будни,18
Рис Басмати,Крупы,39,468.84,будни,3
Апельсины,Фрукты,94,108.7,праздник,3
Соль йодированная,Бакалея,39,393.7,выходной,2
Курица охлажденная,Мясо,44,489.09,выходной,14
Соль йодированная,Бакалея,5,23.87,выходной,20
Печенье овсяное,Кондитерские изделия,20,412.56,будни,12
Сахар песок,Бакалея,43,396.56,будни,8
Печенье овсяное,Кондитерские изделия,42,102.55,будни,17
Печенье овсяное,Кондитерские изделия,5,29.23,будни,14
Бананы,Фрукты,49,139.22,будни,17
Пиво светлое,Алкоголь,46,1178.73,выходной,18
Лук репчатый,Овощи,27,129.48,выходной,50
Мука пшеничная,Бакалея,33,232.39,будни,6
Лосось стейк,Рыба и морепродукты,30,425.27,будни,17
Макароны спагетти,Макаронные изделия,0,32.85,будни,8
Вино красное,Алкоголь,17,757.66,выходной,2
Яйца куриные (10 шт),Яйца,30,23.89,выходной,36
Помидоры черри,Овощи,76,167.14,праздник,36
Сухарики ржаные,Снеки,18,133.91,будни,18
Масло сливочное,Молочные продукты,59,147.46,будни,11
Курица охлажденная,Мясо,3,487.94,выходной,26
Морковь столовая,Овощи,30,189.1,выходной,32
Зефир ванильный,Кондитерские изделия,39,35.53,выходной,30
Сухарики ржаные,Снеки,28,340.08,выходной,6
Печенье овсяное,Кондитерские изделия,43,115.39,выходной,6
Соль йодированная,Бакалея,44,97.57,будни,6
Мука пшеничная,Бакалея,30,79.61,выходной,6
Зефир ванильный,Кондитерские изделия,25,487.42,будни,9
Картофель молодой,Овощи,60,199.61,выходной,30
Чипсы картофельные,Снеки,8,356.59,будни,8
Вино красное,Алкоголь,18,277.53,будни,4
Лосось стейк,Рыба и морепродукты,24,502.13,будни,15
Мармелад фруктовый,Кондитерские изделия,38,109.78,выходной,10
Мёд цветочный,Сладости,46,203.06,будни,7
"Кефир 3,2%",Молочные продукты,59,45.81,выходной,16
Вода минеральная,Напитки,42,364.3,будни,7
"Молоко 2,5%",Молочные продукты,28,451.95,будни,8
Энергетик,Напитки,16,357.99,выходной,8
Рис Басмати,Крупы,40,45.27,будни,1
Чипсы картофельные,Снеки,18,63.63,будни,5
Бананы,Фрукты,34,103.46,выходной,22
Сахар песок,Бакалея,43,214.23,будни,4
Морковь столовая,Овощи,16,118.38,праздник,18
Свинина отбивная,Мясо,43,372.62,будни,17
Соль йодированная,Бакалея,10,333.71,выходной,24
Колбаса докторская,Мясные изделия,39,251.32,праздник,6
Кетчуп томатный,Соусы,23,445.17,будни,9
Бананы,Фрукты,91,195.77,будни,6
Бананы,Фрукты,43,185.84,будни,6
Соль йодированная,Бакалея,22,456.27,выходной,36
Колбаса докторская,Мясные изделия,29,47.95,будни,3
Бананы,Фрукты,15,133.25,будни,15
Говядина вырезка,Мясо,28,393.35,будни,7
Шоколад молочный,Кондитерские изделия,16,115.5,выходной,26
Чипсы картофельные,Снеки,30,298.15,будни,10
Пиво светлое,Алкоголь,40,1351.47,будни,4
Апельсины,Фрукты,21,123.39,выходной,32
Бананы,Фрукты,58,106.2,будни,9
Печенье овсяное,Кондитерские изделия,40,87.63,выходной,20
Вино красное,Алкоголь,21,1335.82,выходной,6
Сахар песок,Бакалея,23,39.41,выходной,34
Хлеб бородинский,Хлебобулочные изделия,7,107.11,будни,1
Апельсины,Фрукты,57,185.41,будни,13
Картофель молодой,Овощи,83,89.7,будни,8
Свинина отбивная,Мясо,28,352.21,будни,15
Огурцы грунтовые,Овощи,93,146.59,выходной,28
Сыр Российский,Молочные продукты,89,259.65,выходной,18
Макароны спагетти,Макаронные изделия,27,89.2,выходной,16
Майонез оливковый,Соусы,44,303.86,будни,6
Лавровый лист,Специи,28,203.21,будни,10
Сок апельсиновый,Напитки,42,125.65,будни,17
Творог 5%,Молочные продукты,87,121.08,будни,5
Джем клубничный,Сладости,33,142.12,будни,14
Энергетик,Напитки,7,383.83,праздник,51
Курица охлажденная,Мясо,2,763.03,выходной,22
Рис Басмати,Крупы,45,81.7,выходной,8
Помидоры черри,Овощи,18,182.79,будни,27
Лук репчатый,Овощи,43,176.55,будни,27
Сметана 15%,Молочные продукты,59,106.09,будни,17
Лавровый лист,Специи,47,159.66,выходной,4
"Молоко 2,5%",Молочные продукты,37,194.51,праздник,3
Помидоры черри,Овощи,68,124.39,выходной,44
